category,key,value,additional
sustenance,amenity,bar,
sustenance,amenity,bbq,
sustenance,amenity,biergarten,
sustenance,amenity,cafe,cuisine
sustenance,amenity,drinking_water,
sustenance,amenity,fast_food,cuisine
sustenance,amenity,food_court,
sustenance,amenity,ice_cream,
sustenance,amenity,pub,
sustenance,amenity,restaurant,cuisine
Education,amenity,college,
Education,amenity,driving_school,
Education,amenity,kindergarten,
Education,amenity,language_school,
Education,amenity,library,
Education,amenity,toy_library,
Education,amenity,music_school,
Education,amenity,school,
Education,amenity,university,
Transportation,amenity,bicycle_parking,
Transportation,amenity,bicycle_repair_station,
Transportation,amenity,bicycle_rental,
Transportation,amenity,boat_rental,
Transportation,amenity,boat_sharing,
Transportation,amenity,bus_station,
Transportation,amenity,car_rental,
Transportation,amenity,car_sharing,
Transportation,amenity,car_wash,
Transportation,amenity,vehicle_inspection,
Transportation,amenity,charging_station,
Transportation,amenity,ferry_terminal,
Transportation,amenity,fuel,
Transportation,amenity,grit_bin,
Transportation,amenity,motorcycle_parking,
Transportation,amenity,parking,
Transportation,amenity,parking_entrance,
Transportation,amenity,parking_space,
Transportation,amenity,taxi,
Financial,amenity,atm,
Financial,amenity,bank,
Financial,amenity,bureau_de_change,
Healthcare,amenity,baby_hatch,
Healthcare,amenity,clinic,
Healthcare,amenity,dentist,
Healthcare,amenity,doctors,
Healthcare,amenity,hospital,emergency
Healthcare,amenity,nursing_home,
Healthcare,amenity,pharmacy,
Healthcare,amenity,social_facility,
Healthcare,amenity,veterinary,
Entertainment Arts & Culture,amenity,arts_centre,
Entertainment Arts & Culture,amenity,brothel,
Entertainment Arts & Culture,amenity,casino,
Entertainment Arts & Culture,amenity,cinema,
Entertainment Arts & Culture,amenity,community_centre,
Entertainment Arts & Culture,amenity,fountain,
Entertainment Arts & Culture,amenity,gambling,
Entertainment Arts & Culture,amenity,nightclub,
Entertainment Arts & Culture,amenity,planetarium,
Entertainment Arts & Culture,amenity,public_bookcase,
Entertainment Arts & Culture,amenity,social_centre,
Entertainment Arts & Culture,amenity,stripclub,
Entertainment Arts & Culture,amenity,studio,
Entertainment Arts & Culture,amenity,swingerclub,
Entertainment Arts & Culture,amenity,theatre,
Others,amenity,animal_boarding,
Others,amenity,animal_shelter,
Others,amenity,baking_oven,
Others,amenity,bench,
Others,amenity,childcare,
Others,amenity,clock,
Others,amenity,conference_centre,
Others,amenity,courthouse,
Others,amenity,crematorium,
Others,amenity,dive_centre,
Others,amenity,embassy,
Others,amenity,fire_station,
Others,amenity,grave_yard,
Others,amenity,hunting_stand,
Others,amenity,internet_cafe,
Others,amenity,kitchen,
Others,amenity,kneipp_water_cure,
Others,amenity,marketplace,
Others,amenity,monastery,
Others,amenity,photo_booth,
Others,amenity,place_of_worship,religion
Others,amenity,police,
Others,amenity,post_box,
Others,amenity,post_depot,
Others,amenity,post_office,
Others,amenity,prison,
Others,amenity,public_bath,
Others,amenity,ranger_station,
Others,amenity,recycling,
Others,amenity,sanitary_dump_station,
Others,amenity,shelter,
Others,amenity,shower,
Others,amenity,telephone,
Others,amenity,toilets,
Others,amenity,townhall,
Others,amenity,vending_machine,
Others,amenity,waste_basket,
Others,amenity,waste_disposal,
Others,amenity,waste_transfer_station,
Others,amenity,watering_place,
Others,amenity,water_point,
Others,amenity,user defined,
